epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2677,0.9722,3.0354,1.37001,0.0038,0.77671,0.20366,0.13193,1.08173,3.09568,1.40991,0.00037154,0.00037154,0.00037154
2,15.7319,1.10598,2.61583,1.45668,0.35918,0.25416,0.19086,0.10598,1.3471,2.7631,1.61819,0.000732377,0.000732377,0.000732377
3,22.7807,1.17721,2.48002,1.54308,0.4638,0.24867,0.19949,0.0958,1.65224,2.90189,1.9201,0.00106775,0.00106775,0.00106775
4,29.7875,1.28114,2.51635,1.54291,0.14547,0.39752,0.15435,0.0634,1.67343,3.6267,1.90501,0.00128753,0.00128753,0.00128753
5,36.6879,1.27884,2.44974,1.53739,0.1756,0.34017,0.16059,0.08173,1.69396,3.10125,1.97588,0.00124037,0.00124037,0.00124037
6,43.5643,1.21562,2.38393,1.52629,0.13543,0.29353,0.12349,0.04931,1.80005,4.0557,2.09027,0.00119322,0.00119322,0.00119322
7,50.4682,1.28031,2.42254,1.56213,0.26616,0.29855,0.20757,0.09619,1.77225,3.14062,2.07324,0.00114606,0.00114606,0.00114606
8,57.5212,1.18825,2.29703,1.45575,0.33848,0.32336,0.28783,0.14428,1.6628,2.81089,1.97112,0.0010989,0.0010989,0.0010989
9,64.5502,1.22999,2.14028,1.5332,0.4497,0.27871,0.25229,0.11893,1.60712,2.749,1.90715,0.00105174,0.00105174,0.00105174
10,71.5076,1.22971,2.18439,1.48801,0.52011,0.2641,0.25261,0.10578,1.70543,2.76537,2.03884,0.00100459,0.00100459,0.00100459
11,78.6084,1.09008,2.10604,1.43822,0.33044,0.32609,0.24982,0.1333,1.67792,3.00581,2.08754,0.00095743,0.00095743,0.00095743
12,85.8321,1.10121,2.09807,1.44067,0.40188,0.26049,0.25394,0.13735,1.56534,2.59988,1.84112,0.000910273,0.000910273,0.000910273
13,93.2054,1.10051,2.0023,1.43361,0.36054,0.32923,0.26664,0.13421,1.57718,2.52084,1.87653,0.000863116,0.000863116,0.000863116
14,100.607,1.10781,1.85877,1.45219,0.4569,0.2984,0.26697,0.13944,1.54701,2.46405,1.83977,0.000815959,0.000815959,0.000815959
15,107.866,1.03174,1.89015,1.38627,0.43464,0.42148,0.39113,0.22155,1.61345,2.39339,1.88857,0.000768802,0.000768802,0.000768802
16,115.259,1.03704,1.69562,1.36136,0.45283,0.41948,0.39473,0.21918,1.557,2.332,1.84326,0.000721645,0.000721645,0.000721645
17,122.46,0.99861,1.6821,1.32112,0.59352,0.37867,0.42784,0.23111,1.50586,2.11504,1.79858,0.000674488,0.000674488,0.000674488
18,129.87,1.00005,1.70917,1.32762,0.5235,0.40535,0.41964,0.23555,1.4891,2.1091,1.76463,0.000627331,0.000627331,0.000627331
19,137.096,0.94611,1.58011,1.31211,0.52268,0.39517,0.43323,0.25189,1.4731,2.09656,1.775,0.000580174,0.000580174,0.000580174
20,144.322,0.93326,1.52151,1.3094,0.63296,0.44463,0.4559,0.2642,1.48905,2.01333,1.74373,0.000533017,0.000533017,0.000533017
21,160.202,0.92695,1.92039,1.35796,0.53691,0.47563,0.45151,0.25887,1.52073,2.09837,1.76801,0.00048586,0.00048586,0.00048586
22,167.259,0.94578,1.82904,1.37019,0.56181,0.38225,0.39729,0.2214,1.51662,2.31791,1.82403,0.000438703,0.000438703,0.000438703
23,174.155,0.86767,1.68893,1.29609,0.4735,0.48993,0.4678,0.27456,1.45725,2.11963,1.71718,0.000391546,0.000391546,0.000391546
24,181.081,0.83385,1.6379,1.24315,0.60081,0.45436,0.44859,0.26547,1.44983,2.1416,1.71117,0.000344389,0.000344389,0.000344389
25,188.107,0.78816,1.50209,1.23353,0.60614,0.44938,0.44889,0.25906,1.49645,2.14777,1.74276,0.000297232,0.000297232,0.000297232
26,195.213,0.76273,1.4642,1.22534,0.67801,0.44008,0.48457,0.29147,1.47493,2.04372,1.71679,0.000250075,0.000250075,0.000250075
27,202.215,0.83047,1.47153,1.21732,0.56689,0.47974,0.48916,0.30148,1.44701,2.0105,1.69249,0.000202918,0.000202918,0.000202918
28,209.285,0.72633,1.3459,1.13625,0.64536,0.44076,0.49834,0.31126,1.41241,1.98544,1.65836,0.000155761,0.000155761,0.000155761
29,216.354,0.7403,1.36252,1.19778,0.68919,0.45281,0.50299,0.31752,1.41239,1.96193,1.67052,0.000108604,0.000108604,0.000108604
30,224.046,0.70829,1.32343,1.13303,0.69029,0.46171,0.51855,0.32234,1.40541,1.92818,1.67588,6.1447e-05,6.1447e-05,6.1447e-05
